roi_u,roi_v,mean_attention,support_count
42,63,0.1474453405284419,58
34,63,0.12657193977873032,474
34,62,0.12511702491478485,308
22,63,0.12065195502820099,314
24,63,0.1198383625540318,330
63,110,0.11620978471941092,142
24,62,0.11083943646417947,222
23,63,0.1104981895684656,276
2,63,0.11002705307813206,192
24,60,0.1097866303355592,82
28,65,0.10964270499243867,128
64,80,0.10875312192365527,98
26,63,0.10797597716973964,344
43,63,0.10772752737852209,66
28,64,0.10639684339631585,158
28,34,0.10630612633706603,224
63,87,0.10532930428598775,128
65,98,0.10453736332287504,44
23,62,0.10283097111664358,210
65,79,0.10227811915267791,98
27,63,0.10226721760201533,224
63,64,0.10223399993363705,236
64,79,0.10180944239255041,48
26,62,0.10167317473454975,208
62,70,0.10139367948001136,294
23,60,0.10043482833134476,128
17,65,0.10043265127266447,102
25,63,0.09959330574371093,172
63,105,0.09950870948198896,130
16,65,0.0971941108841242,72
62,71,0.09682342846444326,232
35,63,0.09667970682902817,228
17,64,0.09606583143273989,90
63,93,0.09541856216228738,98
57,65,0.09536071931661079,132
22,62,0.09536061139142775,182
65,80,0.09490575313825032,58
10,25,0.09477984807821677,152
60,70,0.094424234930762,266
35,62,0.09411115818915682,144
23,28,0.09357217117636041,110
29,65,0.0931075836239426,172
43,115,0.09308560177479394,410
42,115,0.09307936500606775,382
63,86,0.09306200557569069,134
29,64,0.09303085699089264,190
34,79,0.09301958027246751,76
16,64,0.09282829613740821,112
25,60,0.09273804131556641,66
56,65,0.09270174245378285,66
16,34,0.09258103776457054,84
70,115,0.09234543885500979,634
59,70,0.09223916329255746,258
34,80,0.09211584682010912,112
34,59,0.09203987688036455,124
63,70,0.0920327200022127,350
44,115,0.09161633902251543,336
52,115,0.09105743776248365,388
63,115,0.09083737801385564,318
60,71,0.09083427873518422,214
45,115,0.09080563858457792,304
59,115,0.09077772223620595,324
64,78,0.09075185029457013,60
20,60,0.09058930822289907,130
60,95,0.08976616520039012,226
16,23,0.08973119161756975,70
63,71,0.08969562389983202,254
8,115,0.08955269297503196,228
62,110,0.08936716180697486,74
28,35,0.08925526733510196,140
65,99,0.08887628367280259,34
34,106,0.08845278594059912,262
59,64,0.08836469754654293,144
60,94,0.08783824348245703,252
1,65,0.08765327731208479,122
29,34,0.08733834249644794,220
60,115,0.08667287211661619,366
17,70,0.08654033511238932,216
78,115,0.08628315345945152,684
51,115,0.08620808214876349,446
22,59,0.08618064493601842,124
20,115,0.08613822465811513,456
64,115,0.08577430510785485,276
22,60,0.08574607254817121,124
10,24,0.08562117033976722,132
42,62,0.08544682772257008,52
17,23,0.0854187756893225,80
19,64,0.08525164807215332,60
60,64,0.08506928417349233,1722
53,115,0.08500244830793235,320
26,60,0.0845663257373067,104
63,108,0.08451319627944122,318
20,106,0.08444084795527496,444
20,108,0.08443691656551668,634
8,60,0.08434759890308569,2222
43,61,0.08431729365450641,60
65,72,0.08408430093703301,38
27,115,0.08383313979493914,308
22,28,0.08381160865170195,76
62,108,0.08357849312228975,348
9,115,0.0835578527434596,238
19,65,0.08355072565696467,134
34,60,0.08342244443716482,200
23,108,0.08333521097374615,320
41,64,0.08317244010554119,44
60,109,0.08314857377177652,204
34,78,0.08304349203803102,98
26,115,0.08298985069877533,344
60,65,0.08295314974412502,1656
12,25,0.08294826195063726,142
60,108,0.08282567053923712,374
8,95,0.08271194892739386,152
10,34,0.08263600494664831,156
53,65,0.08250597544145166,114
27,62,0.08249102151926814,144
63,65,0.08238626065490356,354
64,73,0.08214652835435811,42
70,106,0.0820591957491363,458
25,115,0.0820572642002349,316
24,115,0.0820265617960229,290
62,115,0.08191218191286785,348
34,115,0.0817456053079369,262
56,64,0.08168070934092005,84
13,115,0.08163609687080231,446
48,115,0.08141706492751836,350
86,108,0.08138491609074536,786
49,115,0.08129014825583669,358
62,95,0.08125407561826391,246
17,34,0.08115509213683636,76
57,70,0.08110660703225743,404
87,115,0.0810820382489855,580
71,115,0.08104314157618496,586
62,105,0.08095948917325586,120
86,115,0.08093331084563965,820
18,65,0.08093109025674708,102
23,115,0.08091771168358348,270
60,106,0.08072565865757711,408
65,115,0.08070723571193715,300
10,20,0.08059000501000299,82
65,78,0.08056091539690206,58
62,65,0.08044856473626126,210
79,92,0.08032046537846327,62
45,108,0.08031327929019823,284
4,63,0.08027503370106512,102
34,57,0.08021390961419622,88
11,34,0.08010781168513283,158
64,108,0.08001584457773445,276
70,79,0.07954640872476082,310
2,62,0.07950917162233964,160
63,114,0.07936633509550109,166
30,60,0.07931580751901493,80
68,115,0.0792914516239796,530
79,115,0.0792422093796943,700
53,108,0.0789825969508716,280
13,70,0.0789737598105733,280
8,78,0.07889786119071338,78
11,24,0.07875121347957624,212
35,60,0.07867269284621466,204
52,64,0.07865230697207153,60
35,79,0.07864490525389556,128
16,70,0.0786034039064201,272
65,68,0.07833648398518563,80
46,63,0.07828395366668701,70
4,115,0.07817060627588411,328
62,64,0.07800279482893768,244
8,106,0.07779879686704864,264
41,60,0.07773966651137282,82
79,108,0.07765630995386319,676
48,108,0.07755533613235457,320
20,63,0.07754615122186286,112
70,108,0.07754494848738959,694
106,108,0.07749423017311427,1080
60,110,0.07748123711970603,58
34,81,0.07734882012691076,82
57,64,0.07709252794145369,102
59,108,0.07698219977196698,304
70,78,0.07684961624443531,300
22,29,0.07683297048234158,84
51,70,0.07675647738408423,298
24,61,0.0766810936404875,162
34,108,0.07666106820882608,336
12,24,0.07664426174273507,144
63,96,0.07651978206953831,70
60,63,0.07646747317778693,2204
46,115,0.07646551130301917,446
43,62,0.07629256966807273,46
17,115,0.07625275930544369,506
71,106,0.07623658285961604,426
28,92,0.07622490774911757,52
8,108,0.0761551848486682,266
24,59,0.0761129089246785,126
16,115,0.07609221297506673,538
13,24,0.07606818476902708,106
60,62,0.07605562233333046,2820
26,108,0.07583266028629268,354
57,115,0.07577290113400155,436
29,35,0.07573386146997411,150
25,62,0.07571653814931564,136
12,20,0.07570273261112363,92
79,106,0.07560935189637046,456
