rank,roi_u,roi_v,roi_u_name,roi_v_name,system_u,system_v,system_pair,mean_attention,support_count
1,42,63,Calcarine_L,SupraMarginal_R,Occipital,Parietal,Occipital-Parietal,0.1474453405284419,58
2,34,63,Cingulum_Post_L,SupraMarginal_R,Limbic,Parietal,Limbic-Parietal,0.12657193977873032,474
3,34,62,Cingulum_Post_L,SupraMarginal_L,Limbic,Parietal,Limbic-Parietal,0.12511702491478485,308
4,22,63,Frontal_Sup_Medial_L,SupraMarginal_R,Frontal,Parietal,Frontal-Parietal,0.12065195502820099,314
5,24,63,Frontal_Med_Orb_L,SupraMarginal_R,Frontal,Parietal,Frontal-Parietal,0.1198383625540318,330
6,63,110,SupraMarginal_R,Vermis_4_5,Parietal,Cerebellum,Cerebellum-Parietal,0.11620978471941092,142
7,24,62,Frontal_Med_Orb_L,SupraMarginal_L,Frontal,Parietal,Frontal-Parietal,0.11083943646417947,222
8,23,63,Frontal_Sup_Medial_R,SupraMarginal_R,Frontal,Parietal,Frontal-Parietal,0.1104981895684656,276
9,2,63,Frontal_Sup_L,SupraMarginal_R,Frontal,Parietal,Frontal-Parietal,0.11002705307813206,192
10,24,60,Frontal_Med_Orb_L,Parietal_Inf_L,Frontal,Parietal,Frontal-Parietal,0.1097866303355592,82
11,28,65,Insula_L,Angular_R,Limbic,Parietal,Limbic-Parietal,0.10964270499243867,128
12,64,80,Angular_L,Temporal_Sup_L,Parietal,Temporal,Parietal-Temporal,0.10875312192365527,98
13,26,63,Rectus_L,SupraMarginal_R,Frontal,Parietal,Frontal-Parietal,0.10797597716973964,344
14,43,63,Calcarine_R,SupraMarginal_R,Occipital,Parietal,Occipital-Parietal,0.10772752737852209,66
15,28,64,Insula_L,Angular_L,Limbic,Parietal,Limbic-Parietal,0.10639684339631585,158
16,28,34,Insula_L,Cingulum_Post_L,Limbic,Limbic,Limbic-Limbic,0.10630612633706603,224
17,63,87,SupraMarginal_R,Temporal_Pole_Mid_R,Parietal,Temporal,Parietal-Temporal,0.10532930428598775,128
18,65,98,Angular_R,Cerebelum_6_L,Parietal,Cerebellum,Cerebellum-Parietal,0.10453736332287504,44
19,23,62,Frontal_Sup_Medial_R,SupraMarginal_L,Frontal,Parietal,Frontal-Parietal,0.10283097111664358,210
20,65,79,Angular_R,Heschl_R,Parietal,Temporal,Parietal-Temporal,0.10227811915267791,98
21,27,63,Rectus_R,SupraMarginal_R,Frontal,Parietal,Frontal-Parietal,0.10226721760201533,224
22,63,64,SupraMarginal_R,Angular_L,Parietal,Parietal,Parietal-Parietal,0.10223399993363705,236
23,64,79,Angular_L,Heschl_R,Parietal,Temporal,Parietal-Temporal,0.10180944239255041,48
24,26,62,Rectus_L,SupraMarginal_L,Frontal,Parietal,Frontal-Parietal,0.10167317473454975,208
25,62,70,SupraMarginal_L,Caudate_L,Parietal,Subcortical,Parietal-Subcortical,0.10139367948001136,294
26,23,60,Frontal_Sup_Medial_R,Parietal_Inf_L,Frontal,Parietal,Frontal-Parietal,0.10043482833134476,128
27,17,65,Rolandic_Oper_R,Angular_R,Frontal,Parietal,Frontal-Parietal,0.10043265127266447,102
28,25,63,Frontal_Med_Orb_R,SupraMarginal_R,Frontal,Parietal,Frontal-Parietal,0.09959330574371093,172
29,63,105,SupraMarginal_R,Cerebelum_9_R,Parietal,Cerebellum,Cerebellum-Parietal,0.09950870948198896,130
30,16,65,Rolandic_Oper_L,Angular_R,Frontal,Parietal,Frontal-Parietal,0.0971941108841242,72
31,62,71,SupraMarginal_L,Caudate_R,Parietal,Subcortical,Parietal-Subcortical,0.09682342846444326,232
32,35,63,Cingulum_Post_R,SupraMarginal_R,Limbic,Parietal,Limbic-Parietal,0.09667970682902817,228
33,17,64,Rolandic_Oper_R,Angular_L,Frontal,Parietal,Frontal-Parietal,0.09606583143273989,90
34,63,93,SupraMarginal_R,Cerebelum_Crus2_R,Parietal,Cerebellum,Cerebellum-Parietal,0.09541856216228738,98
35,57,65,Postcentral_R,Angular_R,Parietal,Parietal,Parietal-Parietal,0.09536071931661079,132
36,22,62,Frontal_Sup_Medial_L,SupraMarginal_L,Frontal,Parietal,Frontal-Parietal,0.09536061139142775,182
37,65,80,Angular_R,Temporal_Sup_L,Parietal,Temporal,Parietal-Temporal,0.09490575313825032,58
38,10,25,Frontal_Inf_Oper_L,Frontal_Med_Orb_R,Frontal,Frontal,Frontal-Frontal,0.09477984807821677,152
39,60,70,Parietal_Inf_L,Caudate_L,Parietal,Subcortical,Parietal-Subcortical,0.094424234930762,266
40,35,62,Cingulum_Post_R,SupraMarginal_L,Limbic,Parietal,Limbic-Parietal,0.09411115818915682,144
41,23,28,Frontal_Sup_Medial_R,Insula_L,Frontal,Limbic,Frontal-Limbic,0.09357217117636041,110
42,29,65,Insula_R,Angular_R,Limbic,Parietal,Limbic-Parietal,0.0931075836239426,172
43,43,115,Calcarine_R,Vermis_10,Occipital,Cerebellum,Cerebellum-Occipital,0.09308560177479394,410
44,42,115,Calcarine_L,Vermis_10,Occipital,Cerebellum,Cerebellum-Occipital,0.09307936500606775,382
45,63,86,SupraMarginal_R,Temporal_Pole_Mid_L,Parietal,Temporal,Parietal-Temporal,0.09306200557569069,134
46,29,64,Insula_R,Angular_L,Limbic,Parietal,Limbic-Parietal,0.09303085699089264,190
47,34,79,Cingulum_Post_L,Heschl_R,Limbic,Temporal,Limbic-Temporal,0.09301958027246751,76
48,16,64,Rolandic_Oper_L,Angular_L,Frontal,Parietal,Frontal-Parietal,0.09282829613740821,112
49,25,60,Frontal_Med_Orb_R,Parietal_Inf_L,Frontal,Parietal,Frontal-Parietal,0.09273804131556641,66
50,56,65,Postcentral_L,Angular_R,Parietal,Parietal,Parietal-Parietal,0.09270174245378285,66
51,16,34,Rolandic_Oper_L,Cingulum_Post_L,Frontal,Limbic,Frontal-Limbic,0.09258103776457054,84
52,70,115,Caudate_L,Vermis_10,Subcortical,Cerebellum,Cerebellum-Subcortical,0.09234543885500979,634
