system_pair,edge_count,mean_attention_avg,support_count_total,support_count_avg,weighted_score
Frontal-Parietal,32,0.09437655609813095,7148,223.375,21587.31593566208
Cerebellum-Parietal,28,0.08609424562509979,6790,242.5,16368.237978243971
Parietal-Parietal,14,0.08408243072621216,10054,718.1428571428571,11835.10661929872
Cerebellum-Frontal,16,0.0808075344513996,5168,323.0,6681.81340871733
Cerebellum-Occipital,13,0.08514452688207179,4624,355.6923076923077,5118.2077999350995
Limbic-Parietal,17,0.09337471271023065,2866,168.58823529411765,4549.402752667858
Cerebellum-Temporal,8,0.08031396940665164,4764,595.5,3060.9260020263073
Parietal-Subcortical,10,0.09047805651286515,2352,235.2,2128.0438891825884
Cerebellum-Limbic,7,0.08258576519791236,2446,349.42857142857144,1414.0334717186554
Cerebellum-Subcortical,5,0.08184586150546733,2798,559.6,1145.023602461488
Frontal-Frontal,8,0.0837453634583565,1038,129.75,695.4214981581923
Frontal-Limbic,9,0.08299882605163539,918,102.0,685.7363008386117
Parietal-Temporal,8,0.09718131402003556,682,85.25,530.221249293314
Occipital-Parietal,8,0.09258397437904042,526,65.75,389.5933641870021
Limbic-Limbic,4,0.08965839940964751,734,183.5,263.2370606667251
Limbic-Temporal,5,0.0848345289022828,496,99.2,210.38963167766133
Frontal-Subcortical,3,0.08137249960979423,768,256.0,187.4822391009659
Subcortical-Temporal,2,0.07819801248459807,610,305.0,95.40157523120965
Cerebellum-Cerebellum,1,0.07749423017311427,1080,1080.0,83.69376858696342
Occipital-Subcortical,1,0.07675647738408423,298,298.0,22.8734302604571
Frontal-Temporal,1,0.07889786119071338,78,78.0,6.154033172875644
