roi_u,roi_v,mean_attention,support_count
25,57,0.09212226420640945,2
27,75,0.09192097932100296,2
42,60,0.09004049748182297,2
7,16,0.08981704711914062,2
82,104,0.08955620229244232,2
62,114,0.0893213227391243,2
9,36,0.08900577574968338,2
48,109,0.08858270198106766,2
35,82,0.08763065934181213,2
78,93,0.08751732856035233,2
28,65,0.08730203285813332,2
13,35,0.08729393780231476,2
9,106,0.08722124621272087,2
67,74,0.08689356595277786,2
26,109,0.08639438450336456,2
54,73,0.08638720214366913,2
17,44,0.08608889579772949,2
36,64,0.08588805422186852,2
7,86,0.08576965518295765,4
10,45,0.08544780313968658,2
