rank,roi_u,roi_v,roi_u_name,roi_v_name,system_u,system_v,system_pair,mean_attention,support_count
1,9,115,Frontal_Mid_Orb_R,Vermis_10,Frontal,Cerebellum,Cerebellum-Frontal,0.08391057133364181,42
2,52,108,Occipital_Inf_L,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.08061437338107715,54
3,85,115,Temporal_Mid_R,Vermis_10,Temporal,Cerebellum,Cerebellum-Temporal,0.0797027830739279,74
4,52,115,Occipital_Inf_L,Vermis_10,Occipital,Cerebellum,Cerebellum-Occipital,0.07938099985339624,68
5,51,108,Occipital_Mid_R,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.07870052232214346,58
6,2,17,Frontal_Sup_L,Rolandic_Oper_R,Frontal,Frontal,Frontal-Frontal,0.07815511369456847,6
7,42,63,Calcarine_L,SupraMarginal_R,Occipital,Parietal,Occipital-Parietal,0.07715017138980329,8
8,42,108,Calcarine_L,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.07606354380464729,68
9,84,108,Temporal_Mid_L,Vermis_1_2,Temporal,Cerebellum,Cerebellum-Temporal,0.07586356293963822,74
10,85,108,Temporal_Mid_R,Vermis_1_2,Temporal,Cerebellum,Cerebellum-Temporal,0.07563563651638106,80
11,44,115,Cuneus_L,Vermis_10,Occipital,Cerebellum,Cerebellum-Occipital,0.07374973447682957,66
12,45,108,Cuneus_R,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.07201480503814915,60
13,52,95,Occipital_Inf_L,Cerebelum_3_R,Occipital,Cerebellum,Cerebellum-Occipital,0.0717783413711004,48
14,8,115,Frontal_Mid_Orb_L,Vermis_10,Frontal,Cerebellum,Cerebellum-Frontal,0.07170092786492949,44
15,84,115,Temporal_Mid_L,Vermis_10,Temporal,Cerebellum,Cerebellum-Temporal,0.07118530895442088,94
16,44,108,Cuneus_L,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.07027346612885595,70
17,51,115,Occipital_Mid_R,Vermis_10,Occipital,Cerebellum,Cerebellum-Occipital,0.06982319996625717,98
18,57,93,Postcentral_R,Cerebelum_Crus2_R,Parietal,Cerebellum,Cerebellum-Parietal,0.06946375492649774,12
19,6,115,Frontal_Mid_L,Vermis_10,Frontal,Cerebellum,Cerebellum-Frontal,0.06901167402112926,54
20,48,95,Occipital_Sup_L,Cerebelum_3_R,Occipital,Cerebellum,Cerebellum-Occipital,0.06836744564740609,48
21,42,115,Calcarine_L,Vermis_10,Occipital,Cerebellum,Cerebellum-Occipital,0.06836488167755306,72
22,7,95,Frontal_Mid_R,Cerebelum_3_R,Frontal,Cerebellum,Cerebellum-Frontal,0.06818133849614802,52
23,49,95,Occipital_Sup_R,Cerebelum_3_R,Occipital,Cerebellum,Cerebellum-Occipital,0.06784623096297894,56
24,43,108,Calcarine_R,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.06778769901522048,82
25,4,95,Frontal_Sup_Orb_L,Cerebelum_3_R,Frontal,Cerebellum,Cerebellum-Frontal,0.06777474857866764,50
26,89,108,Temporal_Inf_R,Vermis_1_2,Temporal,Cerebellum,Cerebellum-Temporal,0.06773186054749367,78
27,4,115,Frontal_Sup_Orb_L,Vermis_10,Frontal,Cerebellum,Cerebellum-Frontal,0.06753050571617981,60
28,50,108,Occipital_Mid_L,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.0674623558178353,78
29,17,65,Rolandic_Oper_R,Angular_R,Frontal,Parietal,Frontal-Parietal,0.0670107159530744,8
30,59,86,Parietal_Sup_R,Temporal_Pole_Mid_L,Parietal,Temporal,Parietal-Temporal,0.06700486373966155,46
31,60,95,Parietal_Inf_L,Cerebelum_3_R,Parietal,Cerebellum,Cerebellum-Parietal,0.06677284063771367,40
32,50,115,Occipital_Mid_L,Vermis_10,Occipital,Cerebellum,Cerebellum-Occipital,0.06659369540558953,106
33,60,94,Parietal_Inf_L,Cerebelum_3_L,Parietal,Cerebellum,Cerebellum-Parietal,0.06655212982719683,46
34,66,115,Precuneus_L,Vermis_10,Parietal,Cerebellum,Cerebellum-Parietal,0.06650015358657886,96
35,42,95,Calcarine_L,Cerebelum_3_R,Occipital,Cerebellum,Cerebellum-Occipital,0.06648961485956204,110
36,13,108,Frontal_Inf_Tri_R,Vermis_1_2,Frontal,Cerebellum,Cerebellum-Frontal,0.065577717988777,74
37,49,108,Occipital_Sup_R,Vermis_1_2,Occipital,Cerebellum,Cerebellum-Occipital,0.06542855373118073,44
38,99,115,Cerebelum_6_R,Vermis_10,Cerebellum,Cerebellum,Cerebellum-Cerebellum,0.06542368470936229,76
39,44,95,Cuneus_L,Cerebelum_3_R,Occipital,Cerebellum,Cerebellum-Occipital,0.06537357148212883,52
40,9,20,Frontal_Mid_Orb_R,Olfactory_L,Frontal,Limbic,Frontal-Limbic,0.06532035154643757,58
41,89,115,Temporal_Inf_R,Vermis_10,Temporal,Cerebellum,Cerebellum-Temporal,0.06442652877829061,82
42,66,94,Precuneus_L,Cerebelum_3_L,Parietal,Cerebellum,Cerebellum-Parietal,0.06429257328380589,54
43,0,115,Precentral_L,Vermis_10,Frontal,Cerebellum,Cerebellum-Frontal,0.06424852269595828,88
44,14,95,Frontal_Inf_Orb_L,Cerebelum_3_R,Frontal,Cerebellum,Cerebellum-Frontal,0.06419990102627447,70
45,6,95,Frontal_Mid_L,Cerebelum_3_R,Frontal,Cerebellum,Cerebellum-Frontal,0.06418124726042151,44
46,22,95,Frontal_Sup_Medial_L,Cerebelum_3_R,Frontal,Cerebellum,Cerebellum-Frontal,0.06403351810417678,38
47,9,108,Frontal_Mid_Orb_R,Vermis_1_2,Frontal,Cerebellum,Cerebellum-Frontal,0.06396356943112455,38
48,91,95,Cerebelum_Crus1_R,Cerebelum_3_R,Cerebellum,Cerebellum,Cerebellum-Cerebellum,0.06390178250148892,82
